wavelength (nm),irradiance (W/m^2/nm),
202,0.007934213,
202.1,0.007914421,
202.2,0.007887107,
202.3,0.007861121,
202.4,0.007846185,
202.5,0.007851201,
202.6,0.007882431,
202.7,0.007942195,
202.8,0.008028284,
202.9,0.008134574,
203,0.008252753,
203.1,0.008374399,
203.2,0.008493017,
203.3,0.008605202,
203.4,0.008710793,
203.5,0.008812008,
203.6,0.008912233,
203.7,0.009014657,
203.8,0.009121427,
203.9,0.009233132,
204,0.009348703,
204.1,0.009465743,
204.2,0.009580915,
204.3,0.009690582,
204.4,0.009791497,
204.5,0.009881413,
204.6,0.009959279,
204.7,0.010025217,
204.8,0.010080086,
204.9,0.010124924,
205,0.01016042,
205.1,0.010186845,
205.2,0.010204309,
205.3,0.010213211,
205.4,0.010214739,
205.5,0.010211113,
205.6,0.010205488,
205.7,0.010201552,
205.8,0.01020297,
205.9,0.010212961,
206,0.010233951,
206.1,0.01026758,
206.2,0.010314735,
206.3,0.010375728,
206.4,0.010450568,
206.5,0.010539244,
206.6,0.010641998,
206.7,0.010759487,
206.8,0.010892582,
206.9,0.011041972,
207,0.011207476,
207.1,0.011387287,
207.2,0.011577678,
207.3,0.011773015,
207.4,0.011966633,
207.5,0.012152288,
207.6,0.012325595,
207.7,0.012485925,
207.8,0.012637192,
207.9,0.012787921,
208,0.012950498,
208.1,0.013139211,
208.2,0.013368005,
208.3,0.013648302,
208.4,0.013987213,
208.5,0.014386608,
208.6,0.014843778,
208.7,0.01535237,
208.8,0.015903682,
208.9,0.016488123,
209,0.017096052,
209.1,0.017718397,
209.2,0.018347405,
209.3,0.018977283,
209.4,0.019605063,
209.5,0.020231075,
209.6,0.020858895,
209.7,0.021493798,
209.8,0.02214091,
209.9,0.022801899,
210,0.023472618,
210.1,0.024142329,
210.2,0.024793337,
210.3,0.025405072,
210.4,0.025959451,
210.5,0.026447172,
210.6,0.026873272,
210.7,0.027259889,
210.8,0.027644077,
210.9,0.028071106,
211,0.028584104,
211.1,0.029213073,
211.2,0.029965306,
211.3,0.030819863,
211.4,0.03172665,
211.5,0.03261021,
211.6,0.033379437,
211.7,0.033941529,
211.8,0.034219697,
211.9,0.034171412,
212,0.03380187,
212.1,0.033168285,
212.2,0.032371584,
212.3,0.03153561,
212.4,0.030779111,
212.5,0.030190614,
